The Different Ways To Earn Kenya Airways Asante Rewards Points,https://simpleflying.com/kenya-airways-earning-guide/,Asante Rewards members can earn points on Kenya Airways and SkyTeam partner flights.,2 hours ago
KQ seeks Sh154b to aid liquidity spur growth - People Daily,https://www.pd.co.ke/business/kq-seeks-sh154b-to-aid-liquidity-spur-growth-215277/,Kenya Airways (KQ) is actively pursuing a capital injection of $1 billion (Sh154.7 billion) from strategic investors to bolster the airline's financial...,2 months ago
Kenya Airways Announces Possible 2 Weeks Flight Disruptions Lack of Spare Parts - Tuko.co.ke,https://www.tuko.co.ke/business-economy/economy/530750-kenya-airways-announces-2-weeks-flight-disruptions-lack-spare-parts/,Kenya Airways Announces Possible 2 Weeks Flight Disruptions Lack of Spare Parts · Kenya Airways announced the possibility of flight disruptions due to a...,3 months ago
Kenya Airways Flight to Dubai Forced to Return to JKIA After Tyre Debris Discovered on Runway - Tuko.co.ke,https://www.tuko.co.ke/kenya/531539-kenya-airways-flight-dubai-forced-return-jkia-tyre-debris-discovered-runway/,A Kenya Airways flight bound for Dubai was compelled to return to Jomo Kenyatta International Airport after air traffic control detected tyre debris on the...,3 months ago
Kenya Airways resumes flights to Thailand - Capital Business,https://www.capitalfm.co.ke/business/2023/11/kenya-airways-resumes-flights-to-thailand/,NAIROBI Kenya Nov 21 - Kenya Airways has announced the resumption of flights to Bangkok starting today. It will operate five times per week on the Kenya...,3 months ago
Kenya Airways warns of holiday travel disruptions for 2 weeks due to spare parts shortages,https://africa.businessinsider.com/local/markets/kenya-airways-warns-of-holiday-travel-disruptions-for-2-weeks-due-to-spare-parts/bc0wln1,Kenya Airways has issued a warning to its customers advising them to anticipate possible disruptions to its flight schedule during the upcoming Christmas...,3 months ago
Kenya Airways announces two-week flight disruptions due to spare part challenges,https://www.capitalfm.co.ke/news/2023/12/kenya-airways-announces-two-week-flight-disruptions-due-to-spare-part-challenges/,NAIROBI Kenya Dec 9 - Kenya Airways has announced flight interruptions for two weeks over the spare part challenge.According to a statement released...,3 months ago
Kenya Airways plane from Nairobi to London diverted from Heathrow to Stansted Airport,https://nation.africa/kenya/news/kenya-airways-plane-from-nairobi-to-london-diverted-from-heathrow-to-stansted-airport-4398984,What you need to know: · The reason for the diversion is said to be a potential security threat with local press reporting that bomb squads were seen rushing...,5 months ago
Kenya Airways adds to fleet with 737 freighter,https://theloadstar.com/kenya-airways-adds-to-fleet-with-737-freighter/,Kenya Airways will add a second Boeing 737-800 Freighter in 2024 which will enter service in February 2024. The freighters will also capture opportunities...,3 months ago
Kenya Airways to pay former staff Sh126m for unfair dismissal,https://www.standardmedia.co.ke/national/article/2001485619/kenya-airways-to-pay-former-staff-sh126m-for-unfair-dismissal,Struggling national carrier Kenya Airways has suffered a major blow after an industrial court ordered it to pay 47 former employers Sh126 million for unfair...,3 months ago
Kenya Airways foresees Sh32b losses from weakening shilling,https://www.standardmedia.co.ke/business/business/article/2001484053/kenya-airways-foresees-sh32b-losses-from-weakening-shilling,The carrier on Tuesday told MPs that it expects the losses directly attributed to the weakening of the shilling against the US to hit Sh32 billion by December...,4 months ago
Kenya Airways' economy class named Africa's best for 5th time,https://www.k24tv.co.ke/news/kenya-airways-best-economy-class-118534/,Kenya Airways' economy class named Africa's best for 5th time ... Kenya Airways(KQ) has been named Africa's Leading Airline - Economy Class category for the fifth...,4 months ago
RAF Scrambles Jets to Intercept Kenya Airways Plane Amid Security Alert,https://airspace-africa.com/2023/10/13/raf-scrambles-jets-to-intercept-kenya-airways-plane-amid-security-alert/,RAF Scrambles Jets to Intercept Kenya Airways Plane Amid Security Alert ... In a high-stakes response to a potential security threat Royal Air Force (RAF)...,5 months ago
RAF fighter jets escort Kenya Airways flight to Stansted Airport after 'security alert',https://www.k24tv.co.ke/news/jets-escort-kenya-airways-flight-118157/,RAF fighter jets escort Kenya Airways flight to Stansted Airport after 'security alert' ... A large emergency response was underway at Stansted Airport as a Kenya...,5 months ago
Kenya Airways Wins Top prize in two categories in this year’s Sky Team Alliance 'Sustainable Flight Challenge',https://airspace-africa.com/2023/10/10/kenya-airways-wins-top-prize-in-two-categories-in-this-years-sky-team-alliance-sustainable-flight-challenge/,Kenya Airways Wins Top prize in two categories in this year's Sky Team Alliance 'Sustainable Flight Challenge' ... Kenya's national carrier has earned two awards...,5 months ago
Kenya Airways to increase flights to London,https://www.businesstravelnewseurope.com/Air-Travel/Kenya-Airways-to-increase-flights-to-London,Kenya Airways will increase its Nairobi-London Heathrow route from 10 to 14 flights per week starting October 29 to meet rising market and passenger demand...,5 months ago
Senators to probe KQ aircraft lease deals partnership,https://www.the-star.co.ke/business/kenya/2023-09-25-senators-to-probe-kq-aircraft-lease-deals-partnership/,Senators have launched a probe on the sustainability of a leasing programme by national career Kenya Airways. Nandi senator Samson Cherargei who requested...,5 months ago
Kenya Airways resumes daily flights to New York as demand rises,https://nairobinews.nation.africa/kenya-airways-resumes-daily-flights-to-new-york-as-demand-rises/,Kenya Airways (KQ) has resumed daily flights to New York as it moves to cash in on the upcoming demand for air travel in the summer season.,8 months ago
Kenya Airways reports operating profit for first time in 6 years,https://aviationsourcenews.com/airline/kenya-airways-reports-operating-profit-for-first-time-in-6-years/,Kenyan flag carrier Kenya Airways has moved into profit for the first time in 6 years; posting an operational profit of Ksh998 million.,6 months ago
Why Kenya Airways is abbreviated as KQ and not KA,https://www.pulselive.co.ke/business/domestic/why-kenya-airways-is-abbreviated-as-kq-and-not-ka/4y16bcv,At that juncture South Korea had gracefully taken flight into the world of aviation with the establishment of Korean Air while the International Air...,6 months ago
