The Best Coffee Shops In Nairobi Kenya,https://theculturetrip.com/africa/kenya/articles/the-10-best-coffee-shops-in-nairobi,You don't need to be a caffeine connoisseur to know that Kenya produces some of the best Arabica coffee in the world. The country itself may not make much...,33 months ago,0.6369,positive,news,Google News,Java House
A look at Java House in Cedarburg,https://www.jsonline.com/picture-gallery/life/food/fork-spoon-life/2021/01/28/look-java-house-cedarburg/4277869001/,A look at Java House in Cedarburg · Java House is on Cedarburg ' s busy Washington Avenue.,37 months ago,0.0,neutral,news,Google News,Java House
Cleveland native Machine Gun Kelly opens new coffee shop in the Flats,https://www.wkyc.com/article/entertainment/television/programs/donovan-live/mgk-opens-new-coffee-shop-in-the-flats/95-4aaa6526-f78b-4524-9c59-032b56502d1b,A new coffee shop and restaurant has opened up downtown in the Flats with a famous owner and named after a group of famous artists.,41 months ago,-0.34,negative,news,Google News,Java House
Java to launch Sh50m outlet in Machakos,https://nation.africa/kenya/business/java-to-launch-sh50m-outlet-in-machakos-440964,Local coffee chain Java House has continued its expansion outside Nairobi with its first restaurant in Machakos County.,44 months ago,0.0,neutral,news,Google News,Java House
Coffee N' Comics in Reno is like no other coffee house,https://www.rgj.com/story/life/food/2020/01/27/coffee-n-comics-unique-reno-counter-culture-board-games/4563397002/,Instead there are striped bags of Counter Culture the house roast and ranks of flavorings cartoon bright menu screens and canisters of chai and co-owner...,49 months ago,0.0772,positive,news,Google News,Java House
Coffee chain Java House scoops top global award - People Daily,https://www.pd.co.ke/business/coffee-chain-java-house-scoops-top-global-award-13544/,Kenya's Java House Group has won the Brand of the Year award in the Coffee and Food chain category at the World Branding Awards.,51 months ago,0.6486,positive,news,Google News,Java House
Blue Java Café - Uris Hall | Columbia Dining,https://dining.columbia.edu/content/blue-java-cafe-uris-hall,Blue Java Café in Uris features a variety of Brooklyn Roasting Company coffees teas sandwiches soups and pastries in addition to specialty items such...,55 months ago,0.0,neutral,news,Google News,Java House
Java House Coffee Bar,https://townepost.com/indiana/carmel/java-house-coffee-bar/,Photographer: Ellie Sophia Photography ... A new coffee shop is brewing in Carmel and it means business. Java House Coffee Bar opened its doors in May and it...,56 months ago,0.0,neutral,news,Google News,Java House
Java injects $10m into East Africa growth as Actis buys Abraaj,https://www.theeastafrican.co.ke/tea/business/java-injects-10m-into-east-africa-growth-as-actis-buys-abraaj-1411228,Java House outlet in Kigali. The restaurant chain will introduce the 'new concept' store at the Junction Mall in May and another at Sarit Centre later in...,61 months ago,0.3818,positive,news,Google News,Java House
Java House targets mainland market to pep up growth,https://www.chinadaily.com.cn/a/201809/13/WS5b99ce95a31033b4f4655cc9.html,Java House East Africa's largest coffee shop chain is planning to sell its premium coffee in China a market with a rapidly growing number of coffee...,66 months ago,0.3818,positive,news,Google News,Java House
Abba Java Coffee House Serves Up More Than Coffee,https://www.statecollege.com/articles/local-news/abba-java-coffee-house-serves-up-more-than-coffee/,Abba Java Coffee House Serves Up More Than Coffee ... Five years ago Sue Justice began working with the St. Paul's United Methodist Church and Wesley...,67 months ago,0.0,neutral,news,Google News,Java House
Java House future rests on parent sale,https://www.standardmedia.co.ke/business/news/article/2001284974/java-house-future-rests-on-parent-sale,A tussle for the investment arm of Abraaj Holdings is set to put the future of Java Coffee House in uncertain waters.,68 months ago,0.0,neutral,news,Google News,Java House
Where the Chefs Eat: Sara Peters of Java House Fort Myers,https://www.news-press.com/story/life/food/2018/02/28/where-chefs-eat-sara-peters-java-house-fort-myers/372343002/,Java House Fort Myers chef-owner Sara Peters hails from Colombia but has a range of tastes when it comes to dining out in Southwest Florida.,72 months ago,0.0,neutral,news,Google News,Java House
Java House hopes to expand base with food,https://www.gastongazette.com/story/news/local/2017/08/16/java-house-hopes-to-expand-base-with-food/19640397007/,A coffeehouse now hopes to attract more customers to its downtown Gastonia location by offering pizza hamburgers and pancakes alongside a hazelnut latte or...,79 months ago,0.6249,positive,news,Google News,Java House
Best Breakfast Spot Best Catering: Astoria Coffee House & Bistro,https://www.discoverourcoast.com/coast-weekend/dining/best-breakfast-spot-best-catering-astoria-coffee-house-bistro/article_4db8571e-6288-5101-a354-6c04207b9ded.html,Our readers chose Astoria Coffee House & Bistro as their favorite breakfast spot and — along with Baked Alaska whom the coffee house tied with — their go-to...,73 months ago,0.8555,positive,news,Google News,Java House
Kenya's growing middle class force popular restaurant to open two new outlets,https://www.pulselive.co.ke/bi/strategy/java-house-kenyas-growing-middle-class-force-popular-restaurant-to-open-two-new/cqjen37,The giant coffee house has now expanded its outlets to two popular towns outside Nairobi. | Pulselive Kenya.,80 months ago,0.5423,positive,news,Google News,Java House
